ADDR_GU,CONTENT_ID,CONTENT_NM,CRADLE_COUNT,LATITUDE,LONGITUDE,NEW_ADDR,RENT_ID
도봉구,1737,하나은행 (창동점),8.0,37.639702,127.038834,서울특별시 도봉구 덕릉로 249하나은행 (창동점),ST-1469
도봉구,1741,제일강산수산입구,15.0,37.645199,127.032982,서울특별시 도봉구 도봉로 444제일강산수산입구,ST-1638
동대문구,600,휘경2동 주민센터,10.0,37.589912,127.06868,서울특별시 동대문구 한천로 329휘경2동 주민센터,ST-260
동대문구,601,용신동주민센터,10.0,37.575947,127.037361,서울특별시 동대문구 용두동 65-25용신동주민센터,ST-261
동대문구,602,장안동 사거리,10.0,37.572174,127.071388,서울특별시 동대문구 장한로 25길 2장안동 사거리,ST-262
동대문구,604,답십리초등학교 옆 공원,15.0,37.569656,127.055962,서울특별시 동대문구 전농로3길 23답십리초등학교 옆 공원,ST-264
동대문구,605,신설동역8번출구,8.0,37.5742,127.026497,서울특별시 동대문구 천호대로 26신설동역9번출구,ST-265
동대문구,606,휘경공고앞,6.0,37.584625,127.07029,서울특별시 동대문구 겸재로 21휘경공고앞,ST-266
동대문구,608,전농삼성아파트,10.0,37.58131,127.055344,서울특별시 동대문구 전농로 192전농삼성아파트,ST-268
동대문구,609,제기2교,20.0,37.587791,127.037361,서울특별시 동대문구 제기동122-388제기2교,ST-269
동대문구,610,동대문중 교차로,10.0,37.573086,127.052162,서울특별시 동대문구 답십리동 524-1동대문중 교차로,ST-270
동대문구,612,시립동부병원 앞 사거리,20.0,37.573666,127.030815,서울특별시 동대문구 용두동 237-10 시립동부병원 앞 사거리,ST-271
동대문구,613,신설동역 10번출구 앞,10.0,37.575272,127.023468,서울특별시 동대문구 신설동 92-34신설동역 10번출구 앞,ST-272
동대문구,614,용두동 사거리,20.0,37.577686,127.031013,서울특별시 동대문구 용두동 237-10용두동 사거리,ST-273
동대문구,615,용두동 레미안허브리츠아파트 앞,20.0,37.576382,127.03511,서울특별시 동대문구 용두동 696-13 용두동 레미안허브리츠아파트 앞,ST-274
동대문구,616,서울시립대 앞,20.0,37.582561,127.054367,서울특별시 동대문구 전농동 135-5시립대 앞,ST-275
동대문구,617,청솔우성아파트 앞,20.0,37.574203,127.057693,서울특별시 동대문구 답십리동 94-2 청솔우성아파트 앞,ST-276
동대문구,621,동대문중학교 옆,15.0,37.574718,127.053391,서울특별시 동대문구 사가정로 62동대문중학교 옆(버스정류장 부근),ST-389
동대문구,622,전농사거리 교통섬,15.0,37.577793,127.057831,서울특별시 동대문구 사가정로 119전농사거리 교통섬(전농서적 앞),ST-390
동대문구,623,서울시립대 정문 앞,20.0,37.583698,127.053856,서울특별시 동대문구 서울시립대로 161서울시립대 정문 앞(시더프라자빌딩 앞),ST-391
동대문구,624,전농동 동아아파트 앞,10.0,37.574188,127.045891,서울특별시 동대문구 서울시립대로 31전농동 동아아파트 앞(T-World 앞 보도),ST-392
동대문구,625,답십리초등학교 앞(현대시장 옆),9.0,37.568192,127.057175,서울특별시 동대문구 전농로 34답십리초등학교 앞(현대시장 옆),ST-393
동대문구,626,군자교 서측 녹지대,10.0,37.561153,127.070969,서울특별시 동대문구 장한로6길 95군자교녹지대 동측 앞,ST-394
동대문구,627,장안동삼거리 교통섬,10.0,37.578632,127.071907,서울특별시 동대문구 사가정로 240장안동삼거리 교통섬,ST-395
동대문구,628,휘봉고등학교 앞,15.0,37.586815,127.067543,서울특별시 동대문구 한천로 290휘봉고등학교 앞,ST-396
동대문구,630,동대문구 보건소,15.0,37.574852,127.040306,서울특별시 동대문구 천호대로 145동대문구 보건소,ST-397
